index,trace_name,trace_start_time,station_network_code,station_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,trace_name_original,trace_chunk
0,"bucket1$0,:3,:6001",2014-03-03T08:29:02.980000,MQ,LAM,14.81292,-61.16314,1240.0,1365.0,1402.0,1365,100.0,ZNE,test,"bucket0$0,:3,:6001",
1,"bucket0$0,:3,:6001",2014-03-03T08:29:10.089900,MQ,GBM,14.799451,-61.159276,800.0,655.0,,655,100.0,ZNE,train,"bucket1$0,:3,:6001",
2,"bucket0$1,:3,:6001",2014-03-03T08:29:03.970000,MQ,IA2,14.80307,-61.20515,289.0,1276.0,1330.0,1276,100.0,ZNE,train,"bucket1$1,:3,:6001",
3,"bucket0$2,:3,:6001",2014-03-03T08:28:59.119900,MQ,BAM,14.8171,-61.1445,670.0,1792.0,,1792,100.0,ZNE,train,"bucket1$2,:3,:6001",
4,"bucket0$3,:3,:6001",2014-03-03T08:28:47.509900,MQ,MLM,14.7846,-61.1786,370.0,2959.0,,2959,100.0,ZNE,train,"bucket1$3,:3,:6001",
5,"bucket0$4,:3,:6001",2014-03-04T02:19:37.020000,MQ,LAM,14.81292,-61.16314,1240.0,2718.0,2766.0,2718,100.0,ZNE,train,"bucket1$4,:3,:6001",
6,"bucket0$5,:3,:6001",2014-03-04T02:19:20.779900,MQ,BAM,14.8171,-61.1445,670.0,4378.0,,4378,100.0,ZNE,train,"bucket1$5,:3,:6001",
7,"bucket0$6,:3,:6001",2014-03-04T02:19:32.039900,MQ,GBM,14.799451,-61.159276,800.0,3262.0,,3262,100.0,ZNE,train,"bucket1$6,:3,:6001",
8,"bucket0$7,:3,:6001",2014-03-04T03:22:11.189900,MQ,GBM,14.799451,-61.159276,800.0,548.0,,548,100.0,ZNE,train,"bucket1$7,:3,:6001",
9,"bucket0$8,:3,:6001",2014-03-04T03:21:44.380000,MQ,LAM,14.81292,-61.16314,1240.0,3233.0,3253.0,3233,100.0,ZNE,train,"bucket1$8,:3,:6001",
10,"bucket3$0,:3,:6001",2014-03-04T03:21:28.790000,MQ,IA2,14.80307,-61.20515,289.0,4818.0,4848.0,4818,100.0,ZNE,dev,"bucket2$0,:3,:6001",
11,"bucket0$9,:3,:6001",2014-03-04T03:21:55.399900,MQ,BAM,14.8171,-61.1445,670.0,2168.0,,2168,100.0,ZNE,train,"bucket1$9,:3,:6001",
12,"bucket0$10,:3,:6001",2014-03-04T04:12:01.980000,MQ,LAM,14.81292,-61.16314,1240.0,722.0,773.0,722,100.0,ZNE,train,"bucket1$10,:3,:6001",
13,"bucket0$11,:3,:6001",2014-03-04T04:11:32.639900,MQ,GBM,14.799451,-61.159276,800.0,3661.0,3758.0,3661,100.0,ZNE,train,"bucket1$11,:3,:6001",
14,"bucket0$12,:3,:6001",2014-03-04T04:11:26.479900,MQ,BAM,14.8171,-61.1445,670.0,4303.0,4395.0,4303,100.0,ZNE,train,"bucket1$12,:3,:6001",
15,"bucket0$13,:3,:6001",2014-03-04T04:20:31.549900,MQ,GBM,14.799451,-61.159276,800.0,2086.0,,2086,100.0,ZNE,train,"bucket1$13,:3,:6001",
16,"bucket0$14,:3,:6001",2014-03-04T04:20:25.660000,MQ,LAM,14.81292,-61.16314,1240.0,2679.0,2732.0,2679,100.0,ZNE,train,"bucket1$14,:3,:6001",
17,"bucket0$15,:3,:6001",2014-03-04T04:20:28.869900,MQ,BAM,14.8171,-61.1445,670.0,2420.0,,2420,100.0,ZNE,train,"bucket1$15,:3,:6001",
18,"bucket0$16,:3,:6001",2014-03-04T04:23:54.529900,MQ,BAM,14.8171,-61.1445,670.0,4150.0,,4150,100.0,ZNE,train,"bucket1$16,:3,:6001",
19,"bucket0$17,:3,:6001",2014-03-04T04:24:28.909900,MQ,GBM,14.799451,-61.159276,800.0,725.0,,725,100.0,ZNE,train,"bucket1$17,:3,:6001",
20,"bucket0$18,:3,:6001",2014-03-04T04:23:50.560000,MQ,LAM,14.81292,-61.16314,1240.0,4563.0,4599.0,4563,100.0,ZNE,train,"bucket1$18,:3,:6001",
21,"bucket0$19,:3,:6001",2014-03-04T04:24:21.310000,MQ,IA2,14.80307,-61.20515,289.0,1523.0,1648.0,1523,100.0,ZNE,train,"bucket1$19,:3,:6001",
22,"bucket1$1,:3,:6001",2014-03-04T06:23:00.630000,MQ,LAM,14.81292,-61.16314,1240.0,1185.0,1251.0,1185,100.0,ZNE,test,"bucket0$1,:3,:6001",
