trace_name,trace_start_time,station_network_code,station_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,trace_name_original
"bucket0$0,:3,:6001",2014-03-03T08:29:03.270000,MQ,LAM,14.81292,-61.16314,1240.0,1336.0,1373.0,1336,100.0,ZNE,dev,MQ_LAM_20140303_082916
"bucket1$0,:3,:6001",2014-03-03T08:28:31.449900,MQ,GBM,14.799451,-61.159276,800.0,4519.0,,4519,100.0,ZNE,train,MQ_GBM_20140303_082916
"bucket1$1,:3,:6001",2014-03-03T08:28:35.930000,MQ,IA2,14.80307,-61.20515,289.0,4080.0,4134.0,4080,100.0,ZNE,train,MQ_IA2_20140303_082916
"bucket0$1,:3,:6001",2014-03-03T08:28:43.549900,MQ,BAM,14.8171,-61.1445,670.0,3349.0,,3349,100.0,ZNE,dev,MQ_BAM_20140303_082917
"bucket1$2,:3,:6001",2014-03-03T08:28:34.739900,MQ,MLM,14.7846,-61.1786,370.0,4236.0,,4236,100.0,ZNE,train,MQ_MLM_20140303_082917
"bucket1$3,:3,:6001",2014-03-04T02:19:54.020000,MQ,LAM,14.81292,-61.16314,1240.0,1018.0,1066.0,1018,100.0,ZNE,train,MQ_LAM_20140304_022004
"bucket1$4,:3,:6001",2014-03-04T02:19:36.489900,MQ,BAM,14.8171,-61.1445,670.0,2807.0,,2807,100.0,ZNE,train,MQ_BAM_20140304_022004
"bucket1$5,:3,:6001",2014-03-04T02:19:23.889900,MQ,GBM,14.799451,-61.159276,800.0,4077.0,,4077,100.0,ZNE,train,MQ_GBM_20140304_022004
"bucket1$6,:3,:6001",2014-03-04T03:21:29.309900,MQ,GBM,14.799451,-61.159276,800.0,4736.0,,4736,100.0,ZNE,train,MQ_GBM_20140304_032216
"bucket1$7,:3,:6001",2014-03-04T03:21:59.860000,MQ,LAM,14.81292,-61.16314,1240.0,1685.0,1705.0,1685,100.0,ZNE,train,MQ_LAM_20140304_032216
"bucket1$8,:3,:6001",2014-03-04T03:21:55.550000,MQ,IA2,14.80307,-61.20515,289.0,2142.0,2172.0,2142,100.0,ZNE,train,MQ_IA2_20140304_032216
"bucket0$2,:3,:6001",2014-03-04T03:22:02.629900,MQ,BAM,14.8171,-61.1445,670.0,1445.0,,1445,100.0,ZNE,dev,MQ_BAM_20140304_032217
"bucket1$9,:3,:6001",2014-03-04T04:12:01.490000,MQ,LAM,14.81292,-61.16314,1240.0,771.0,822.0,771,100.0,ZNE,train,MQ_LAM_20140304_041209
"bucket1$10,:3,:6001",2014-03-04T04:11:30.009900,MQ,GBM,14.799451,-61.159276,800.0,3924.0,4021.0,3924,100.0,ZNE,train,MQ_GBM_20140304_041209
"bucket2$0,:3,:6001",2014-03-04T04:11:54.189900,MQ,BAM,14.8171,-61.1445,670.0,1532.0,1624.0,1532,100.0,ZNE,test,MQ_BAM_20140304_041209
"bucket1$11,:3,:6001",2014-03-04T04:20:39.199900,MQ,GBM,14.799451,-61.159276,800.0,1321.0,,1321,100.0,ZNE,train,MQ_GBM_20140304_042052
"bucket2$1,:3,:6001",2014-03-04T04:20:24.370000,MQ,LAM,14.81292,-61.16314,1240.0,2808.0,2861.0,2808,100.0,ZNE,test,MQ_LAM_20140304_042052
"bucket1$12,:3,:6001",2014-03-04T04:20:07.339900,MQ,BAM,14.8171,-61.1445,670.0,4573.0,,4573,100.0,ZNE,train,MQ_BAM_20140304_042053
"bucket1$13,:3,:6001",2014-03-04T04:24:12.899900,MQ,BAM,14.8171,-61.1445,670.0,2313.0,,2313,100.0,ZNE,train,MQ_BAM_20140304_042436
"bucket1$14,:3,:6001",2014-03-04T04:24:25.949900,MQ,GBM,14.799451,-61.159276,800.0,1021.0,,1021,100.0,ZNE,train,MQ_GBM_20140304_042436
"bucket1$15,:3,:6001",2014-03-04T04:23:50.120000,MQ,LAM,14.81292,-61.16314,1240.0,4607.0,4643.0,4607,100.0,ZNE,train,MQ_LAM_20140304_042436
"bucket1$16,:3,:6001",2014-03-04T04:24:26.760000,MQ,IA2,14.80307,-61.20515,289.0,978.0,1103.0,978,100.0,ZNE,train,MQ_IA2_20140304_042436
"bucket1$17,:3,:6001",2014-03-04T06:22:33.900000,MQ,LAM,14.81292,-61.16314,1240.0,3858.0,3924.0,3858,100.0,ZNE,train,MQ_LAM_20140304_062312
"bucket1$18,:3,:6001",2014-03-04T06:22:54.779900,MQ,GBM,14.799451,-61.159276,800.0,1776.0,,1776,100.0,ZNE,train,MQ_GBM_20140304_062312
"bucket2$2,:3,:6001",2014-03-04T06:22:21.380000,MQ,IA2,14.80307,-61.20515,289.0,5171.0,5255.0,5171,100.0,ZNE,test,MQ_IA2_20140304_062313
"bucket1$19,:3,:6001",2014-03-04T07:16:00.900000,MQ,LAM,14.81292,-61.16314,1240.0,5021.0,5052.0,5021,100.0,ZNE,train,MQ_LAM_20140304_071651
"bucket1$20,:3,:6001",2014-03-04T07:16:13.879900,MQ,GBM,14.799451,-61.159276,800.0,3728.0,,3728,100.0,ZNE,train,MQ_GBM_20140304_071651
"bucket1$21,:3,:6001",2014-03-04T07:16:09.009900,MQ,BAM,14.8171,-61.1445,670.0,4240.0,,4240,100.0,ZNE,train,MQ_BAM_20140304_071651
"bucket2$3,:3,:6001",2014-03-04T07:16:38.980000,MQ,IA2,14.80307,-61.20515,289.0,1273.0,,1273,100.0,ZNE,test,MQ_IA2_20140304_071651
"bucket1$22,:3,:6001",2014-03-04T08:16:51.479900,MQ,GBM,14.799451,-61.159276,800.0,2955.0,,2955,100.0,ZNE,train,MQ_GBM_20140304_081721
"bucket1$23,:3,:6001",2014-03-04T08:17:15.580000,MQ,LAM,14.81292,-61.16314,1240.0,548.0,581.0,548,100.0,ZNE,train,MQ_LAM_20140304_081721
"bucket1$24,:3,:6001",2014-03-04T08:16:48.929900,MQ,BAM,14.8171,-61.1445,670.0,3242.0,,3242,100.0,ZNE,train,MQ_BAM_20140304_081721
"bucket1$25,:3,:6001",2014-03-04T08:17:03.330000,MQ,IA2,14.80307,-61.20515,289.0,1834.0,1934.0,1834,100.0,ZNE,train,MQ_IA2_20140304_081721
"bucket1$26,:3,:6001",2014-03-04T22:24:52.670000,MQ,LAM,14.81292,-61.16314,1240.0,4685.0,4755.0,4685,100.0,ZNE,train,MQ_LAM_20140304_222539
"bucket1$27,:3,:6001",2014-03-04T22:25:06.829900,MQ,BAM,14.8171,-61.1445,670.0,3283.0,,3283,100.0,ZNE,train,MQ_BAM_20140304_222539
"bucket1$28,:3,:6001",2014-03-04T22:25:23.799900,MQ,GBM,14.799451,-61.159276,800.0,1604.0,,1604,100.0,ZNE,train,MQ_GBM_20140304_222539
"bucket1$29,:3,:6001",2014-03-04T22:25:26.590000,MQ,IA2,14.80307,-61.20515,289.0,1387.0,1450.0,1387,100.0,ZNE,train,MQ_IA2_20140304_222540
"bucket1$30,:3,:6001",2014-03-04T23:29:23.199900,MQ,GBM,14.799451,-61.159276,800.0,824.0,,824,100.0,ZNE,train,MQ_GBM_20140304_232931
"bucket1$31,:3,:6001",2014-03-04T23:29:13.980000,MQ,LAM,14.81292,-61.16314,1240.0,1748.0,1798.0,1748,100.0,ZNE,train,MQ_LAM_20140304_232931
"bucket1$32,:3,:6001",2014-03-04T23:29:25.859900,MQ,BAM,14.8171,-61.1445,670.0,595.0,,595,100.0,ZNE,train,MQ_BAM_20140304_232931
"bucket1$33,:3,:6001",2014-03-04T23:28:59.200000,MQ,IA2,14.80307,-61.20515,289.0,3303.0,3421.0,3303,100.0,ZNE,train,MQ_IA2_20140304_232932
"bucket1$34,:3,:6001",2014-03-05T00:33:48.619900,MQ,GBM,14.799451,-61.159276,800.0,3779.0,4208.0,3779,100.0,ZNE,train,MQ_GBM_20140305_003426
"bucket1$35,:3,:6001",2014-03-05T00:34:09.660000,MQ,IA2,14.80307,-61.20515,289.0,1757.0,2102.0,1757,100.0,ZNE,train,MQ_IA2_20140305_003427
"bucket2$4,:3,:6001",2014-03-05T00:33:43.279900,MQ,BAM,14.8171,-61.1445,670.0,4494.0,4820.0,4494,100.0,ZNE,test,MQ_BAM_20140305_003428
"bucket1$36,:3,:6001",2014-03-05T00:33:49.510000,MQ,LAM,14.81292,-61.16314,1240.0,3904.0,4099.0,3904,100.0,ZNE,train,MQ_LAM_20140305_003428
"bucket0$3,:3,:6001",2014-03-05T03:56:26.419900,MQ,GBM,14.799451,-61.159276,800.0,1093.0,,1093,100.0,ZNE,dev,MQ_GBM_20140305_035637
"bucket1$37,:3,:6001",2014-03-05T03:56:05.270000,MQ,IA2,14.80307,-61.20515,289.0,3208.0,3361.0,3208,100.0,ZNE,train,MQ_IA2_20140305_035637
"bucket1$38,:3,:6001",2014-03-05T03:56:12.970000,MQ,LAM,14.81292,-61.16314,1240.0,2442.0,2558.0,2442,100.0,ZNE,train,MQ_LAM_20140305_035637
"bucket1$39,:3,:6001",2014-03-05T03:56:20.099900,MQ,BAM,14.8171,-61.1445,670.0,1768.0,,1768,100.0,ZNE,train,MQ_BAM_20140305_035637
"bucket1$40,:3,:6001",2014-03-05T04:31:31.429900,MQ,GBM,14.799451,-61.159276,800.0,5010.0,,5010,100.0,ZNE,train,MQ_GBM_20140305_043221
"bucket2$5,:3,:6001",2014-03-05T04:31:37.940000,MQ,LAM,14.81292,-61.16314,1240.0,4416.0,4538.0,4416,100.0,ZNE,test,MQ_LAM_20140305_043222
"bucket1$41,:3,:6001",2014-03-05T04:31:39.029900,MQ,BAM,14.8171,-61.1445,670.0,4321.0,4486.0,4321,100.0,ZNE,train,MQ_BAM_20140305_043222
"bucket2$6,:3,:6001",2014-03-05T04:31:31.020000,MQ,IA2,14.80307,-61.20515,289.0,5137.0,5306.0,5137,100.0,ZNE,test,MQ_IA2_20140305_043222
"bucket1$42,:3,:6001",2014-03-05T05:11:37.470000,MQ,LAM,14.81292,-61.16314,1240.0,4702.0,4762.0,4702,100.0,ZNE,train,MQ_LAM_20140305_051224
"bucket1$43,:3,:6001",2014-03-05T05:12:10.349900,MQ,GBM,14.799451,-61.159276,800.0,1427.0,,1427,100.0,ZNE,train,MQ_GBM_20140305_051224
"bucket0$4,:3,:6001",2014-03-05T05:11:49.329900,MQ,BAM,14.8171,-61.1445,670.0,3639.0,,3639,100.0,ZNE,dev,MQ_BAM_20140305_051225
"bucket0$5,:3,:6001",2014-03-05T05:11:40.350000,MQ,IA2,14.80307,-61.20515,289.0,,4554.0,4554,100.0,ZNE,dev,MQ_IA2_20140305_051225
"bucket1$44,:3,:6001",2014-03-11T19:52:24.630000,MQ,LAM,14.81292,-61.16314,1240.0,2495.0,2542.0,2495,100.0,ZNE,train,MQ_LAM_20140311_195249
"bucket2$7,:3,:6001",2014-03-11T19:52:26.449900,MQ,GBM,14.799451,-61.159276,800.0,2314.0,,2314,100.0,ZNE,test,MQ_GBM_20140311_195249
"bucket1$45,:3,:6001",2014-03-11T19:52:44.569900,MQ,BAM,14.8171,-61.1445,670.0,540.0,,540,100.0,ZNE,train,MQ_BAM_20140311_195249
"bucket1$46,:3,:6001",2014-03-11T19:52:08.859900,MQ,MLM,14.7846,-61.1786,370.0,4123.0,,4123,100.0,ZNE,train,MQ_MLM_20140311_195250
"bucket2$8,:3,:6001",2014-03-11T19:52:44.810000,MQ,IA2,14.80307,-61.20515,289.0,537.0,606.0,537,100.0,ZNE,test,MQ_IA2_20140311_195250
"bucket1$47,:3,:6001",2014-03-11T19:51:58.680000,WI,SAM,14.84108,-61.1638,485.0,5150.0,5311.0,5150,100.0,ZNE,train,WI_SAM_20140311_195250
"bucket1$48,:3,:6001",2014-03-11T19:52:25.809900,MQ,CPM,14.8168,-61.2074,242.0,2448.0,,2448,100.0,ZNE,train,MQ_CPM_20140311_195250
"bucket0$6,:3,:6001",2014-03-13T13:43:45.549900,MQ,GBM,14.799451,-61.159276,800.0,3850.0,,3850,100.0,ZNE,dev,MQ_GBM_20140313_134424
"bucket2$9,:3,:6001",2014-03-13T13:43:44.460000,MQ,LAM,14.81292,-61.16314,1240.0,3972.0,4036.0,3972,100.0,ZNE,test,MQ_LAM_20140313_134424
"bucket1$49,:3,:6001",2014-03-13T13:44:06.369900,MQ,BAM,14.8171,-61.1445,670.0,1813.0,,1813,100.0,ZNE,train,MQ_BAM_20140313_134424
"bucket1$50,:3,:6001",2014-03-13T13:44:00.569900,MQ,MLM,14.7846,-61.1786,370.0,2412.0,,2412,100.0,ZNE,train,MQ_MLM_20140313_134424
"bucket0$7,:3,:6001",2014-03-13T13:43:50.620000,MQ,IA2,14.80307,-61.20515,289.0,3410.0,3511.0,3410,100.0,ZNE,dev,MQ_IA2_20140313_134424
"bucket1$51,:3,:6001",2014-03-13T13:44:06.029900,MQ,CPM,14.8168,-61.2074,242.0,1873.0,,1873,100.0,ZNE,train,MQ_CPM_20140313_134424
"bucket1$52,:3,:6001",2014-03-13T22:37:47.889900,MQ,GBM,14.799451,-61.159276,800.0,1247.0,,1247,100.0,ZNE,train,MQ_GBM_20140313_223800
"bucket1$53,:3,:6001",2014-03-13T22:37:10.049900,MQ,BAM,14.8171,-61.1445,670.0,5048.0,,5048,100.0,ZNE,train,MQ_BAM_20140313_223800
"bucket1$54,:3,:6001",2014-03-13T22:37:09.520000,MQ,LAM,14.81292,-61.16314,1240.0,,5125.0,5125,100.0,ZNE,train,MQ_LAM_20140313_223800
"bucket1$55,:3,:6001",2014-03-13T23:04:51.390000,MQ,LAM,14.81292,-61.16314,1240.0,608.0,651.0,608,100.0,ZNE,train,MQ_LAM_20140313_230457
