trace_name,station_network_code,station_code,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,gold_standard,trace_name_original
"bucket0$0,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,dev,True,MQ_IA2_GOLD_20140226_075727
"bucket1$0,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140226_075727
"bucket1$1,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140228_080943
"bucket1$2,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140228_125230
"bucket1$3,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140228_125230
"bucket1$4,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140228_205526
"bucket1$5,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140228_235826
"bucket0$1,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,dev,True,MQ_LAM_GOLD_20140303_082917
"bucket1$6,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140303_113553
"bucket1$7,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140303_113554
"bucket1$8,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140303_122924
"bucket1$9,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140304_032216
"bucket1$10,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140304_041211
"bucket1$11,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140304_042436
"bucket1$12,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140304_062312
"bucket1$13,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140304_080314
"bucket1$14,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140305_003430
"bucket1$15,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140305_035639
"bucket1$16,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140305_040323
"bucket2$0,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,test,True,MQ_IA2_GOLD_20140305_043224
"bucket1$17,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140305_044043
"bucket0$2,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,dev,True,MQ_SAM_GOLD_20140309_144315
"bucket1$18,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140310_143406
"bucket1$19,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140311_195251
"bucket2$1,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,test,True,MQ_LAM_GOLD_20140311_195250
"bucket1$20,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140314_160752
"bucket2$2,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,test,True,MQ_IA2_GOLD_20140315_013117
"bucket1$21,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140315_024108
"bucket1$22,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140315_030522
"bucket1$23,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140315_145111
"bucket1$24,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140315_160540
"bucket1$25,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140315_184828
"bucket2$3,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,test,True,MQ_IA2_GOLD_20140315_225403
"bucket1$26,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140315_225704
"bucket1$27,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140315_232647
"bucket1$28,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140315_235223
"bucket0$3,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,dev,True,MQ_SAM_GOLD_20140316_011823
"bucket1$29,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140319_103013
"bucket1$30,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140322_220303
"bucket1$31,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140323_213532
"bucket1$32,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140329_013552
"bucket1$33,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140408_230138
"bucket1$34,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140413_160957
"bucket1$35,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140413_171906
"bucket1$36,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140414_022051
"bucket1$37,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140421_023151
"bucket1$38,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140421_161622
"bucket1$39,:3,:6001",MQ,SAM,3000,3077.0,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140421_201254
"bucket2$4,:3,:6001",MQ,SAM,3000,3240.0,3000,100.0,ZNE,test,True,MQ_SAM_GOLD_20140423_015058
"bucket1$40,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140423_210545
"bucket1$41,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140423_234835
"bucket2$5,:3,:6001",MQ,SAM,3000,3450.0,3000,100.0,ZNE,test,True,MQ_SAM_GOLD_20140423_234841
"bucket1$42,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140424_005618
"bucket1$43,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140424_020621
"bucket2$6,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,test,True,MQ_SAM_GOLD_20140425_033653
"bucket1$44,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140425_090920
"bucket1$45,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140425_113436
"bucket1$46,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140425_113439
"bucket1$47,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140425_121001
"bucket1$48,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140425_120953
"bucket1$49,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140425_213200
"bucket1$50,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140425_213201
"bucket1$51,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140426_211609
"bucket1$52,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140426_220043
"bucket1$53,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140427_060404
"bucket1$54,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140427_153247
"bucket1$55,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140503_010501
"bucket1$56,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140503_010504
"bucket1$57,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140503_025921
"bucket1$58,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140503_043849
"bucket1$59,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140503_053506
"bucket2$7,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,test,True,MQ_SAM_GOLD_20140504_125149
"bucket1$60,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140506_000315
"bucket1$61,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140506_050924
"bucket1$62,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140506_121334
"bucket2$8,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,test,True,MQ_LAM_GOLD_20140506_123255
"bucket0$4,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,dev,True,MQ_SAM_GOLD_20140506_141903
"bucket1$63,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140506_202221
"bucket1$64,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140506_210149
"bucket1$65,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140507_090608
"bucket1$66,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140510_031318
"bucket0$5,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,dev,True,MQ_LAM_GOLD_20140510_042956
"bucket1$67,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140513_013013
"bucket1$68,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140513_175612
"bucket1$69,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140513_175612
"bucket1$70,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140513_210541
"bucket1$71,:3,:6001",MQ,SAM,3000,3171.0,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140514_161947
"bucket1$72,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140514_161950
"bucket1$73,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140516_131443
"bucket1$74,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140520_002758
"bucket2$9,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,test,True,MQ_LAM_GOLD_20140520_002757
"bucket1$75,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140520_015837
"bucket1$76,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140520_021608
"bucket2$10,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,test,True,MQ_SAM_GOLD_20140520_023843
"bucket1$77,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140520_031535
"bucket0$6,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,dev,True,MQ_IA2_GOLD_20140520_032123
"bucket1$78,:3,:6001",MQ,SAM,3000,,3000,100.0,ZNE,train,True,MQ_SAM_GOLD_20140520_032122
"bucket1$79,:3,:6001",MQ,LAM,3000,,3000,100.0,ZNE,train,True,MQ_LAM_GOLD_20140520_032118
"bucket1$80,:3,:6001",MQ,IA2,3000,,3000,100.0,ZNE,train,True,MQ_IA2_GOLD_20140520_064506
