trace_name,station_network_code,station_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,trace_name_original
"bucket0$0,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140524_195000
"bucket1$0,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,test,MQ_IA2_NOISE_20140501_234100
"bucket0$1,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140406_122700
"bucket0$2,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140418_044600
"bucket1$1,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,test,MQ_IA2_NOISE_20140306_212800
"bucket0$3,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140421_132300
"bucket0$4,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140524_222200
"bucket0$5,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140307_211500
"bucket0$6,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140408_042900
"bucket0$7,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140321_005800
"bucket2$0,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,dev,MQ_IA2_NOISE_20140404_192100
"bucket1$2,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,test,MQ_IA2_NOISE_20140505_062100
"bucket0$8,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140228_210500
"bucket1$3,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,test,MQ_IA2_NOISE_20140317_191300
"bucket0$9,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140319_035700
"bucket0$10,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140512_205000
"bucket0$11,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140402_212600
"bucket0$12,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140225_183400
"bucket2$1,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,dev,MQ_IA2_NOISE_20140314_003800
"bucket0$13,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140524_204300
"bucket2$2,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,dev,MQ_IA2_NOISE_20140418_033900
"bucket1$4,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,test,MQ_IA2_NOISE_20140413_093100
"bucket0$14,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140511_200900
"bucket0$15,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140405_201600
"bucket0$16,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140416_154400
"bucket0$17,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140425_135700
"bucket0$18,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140310_212900
"bucket0$19,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140323_045800
"bucket0$20,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140427_223800
"bucket2$3,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,dev,MQ_IA2_NOISE_20140425_043200
"bucket0$21,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140411_110600
"bucket0$22,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140420_194000
"bucket2$4,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,dev,MQ_IA2_NOISE_20140304_154300
"bucket0$23,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140420_131700
"bucket0$24,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140309_072200
"bucket0$25,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140514_235600
"bucket0$26,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140411_163000
"bucket0$27,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140316_161800
"bucket0$28,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140426_230300
"bucket0$29,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140429_034000
"bucket2$5,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,dev,MQ_IA2_NOISE_20140315_002000
"bucket0$30,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140416_233800
"bucket0$31,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140522_084900
"bucket0$32,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140413_100500
"bucket1$5,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,test,MQ_IA2_NOISE_20140223_223800
"bucket0$33,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140427_223000
"bucket0$34,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,MQ_IA2_NOISE_20140430_104500
