time_debut,time_fin,n_stations,stations,n_picks,probabilite_max
2014-02-25T03:00:33.809900,2014-02-25T03:00:34.039900,4,"BAM,CPM,GBM,MLM",4,0.9999912977218628
2014-02-26T07:57:27.639900,2014-02-26T07:57:28.469900,4,"CPM,GBM,IA2,LAM",4,0.9785065054893494
2014-02-28T12:52:30.869900,2014-02-28T12:52:31.099900,4,"BAM,CPM,IA2,SAM",4,0.9947963356971741
2014-02-28T23:58:25.419900,2014-02-28T23:58:26.760000,5,"BAM,CPM,GBM,IA2,MLM",5,0.995937705039978
2014-03-03T11:35:53.919900,2014-03-03T11:35:54.310000,4,"BAM,GBM,IA2,SAM",4,0.9950361251831055
2014-03-03T12:29:24.420000,2014-03-03T12:29:26.699900,4,"BAM,CPM,GBM,IA2",4,0.9976884722709656
2014-03-04T04:12:05.409900,2014-03-04T04:12:11.010000,4,"BAM,GBM,MLM,SAM",4,0.9974215030670166
2014-03-05T00:34:30.950000,2014-03-05T00:34:33.079900,4,"BAM,CPM,GBM,IA2",4,0.9996856451034546
2014-03-05T04:03:22.149900,2014-03-05T04:03:23.430000,4,"BAM,CPM,GBM,IA2",4,0.9970407485961914
2014-03-09T14:43:15.279900,2014-03-09T14:43:21.079900,5,"BAM,CPM,GBM,MLM,SAM",5,0.9901762008666992
2014-03-10T14:34:05.539900,2014-03-10T14:34:06.559900,4,"BAM,CPM,GBM,IA2",4,0.9938981533050537
2014-03-11T19:52:50.149900,2014-03-11T19:52:51.879900,5,"BAM,CPM,GBM,LAM,SAM",5,0.9998960494995117
2014-03-14T02:56:04.219900,2014-03-14T02:56:06.099900,4,"BAM,CPM,GBM,MLM",4,0.9841058850288391
2014-03-14T16:07:52.330000,2014-03-14T16:07:53.739900,5,"BAM,CPM,GBM,MLM,SAM",5,0.9981841444969177
2014-03-15T18:48:28.630000,2014-03-15T18:48:30.639900,4,"BAM,GBM,IA2,MLM",4,0.9993422031402588
2014-03-16T01:18:22.949900,2014-03-16T01:18:24.279900,5,"BAM,CPM,GBM,MLM,SAM",5,0.9999334812164307
2014-04-08T13:31:20.799900,2014-04-08T13:31:22.059900,4,"BAM,CPM,GBM,MLM",4,0.9916199445724487
2014-04-11T21:14:30.149900,2014-04-11T21:14:32.449900,4,"BAM,CPM,GBM,MLM",4,0.9973126649856567
2014-04-18T07:53:59.579900,2014-04-18T07:54:00.559900,4,"BAM,CPM,GBM,MLM",4,0.9910926818847656
2014-04-19T05:06:52.669900,2014-04-19T05:06:53.959900,4,"BAM,CPM,GBM,MLM",4,0.9958204030990601
2014-04-25T03:36:53.099900,2014-04-25T03:36:53.179900,4,"BAM,CPM,GBM,SAM",4,0.9998385310173035
2014-04-25T11:34:36.289900,2014-04-25T11:34:39.620000,5,"BAM,CPM,GBM,IA2,SAM",5,0.999988853931427
2014-04-27T15:32:46.259900,2014-04-27T15:32:51.449900,4,"BAM,GBM,IA2,MLM",4,0.9976487755775452
2014-05-03T01:05:01.009900,2014-05-03T01:05:04.680000,4,"BAM,GBM,IA2,SAM",4,0.9952957630157471
2014-05-16T13:14:43,2014-05-16T13:14:45.909900,4,"BAM,CPM,GBM,LAM",4,0.9727054834365845
2014-05-16T17:53:12.249900,2014-05-16T17:53:14.099900,4,"BAM,CPM,GBM,MLM",4,0.9940513968467712
2014-05-20T02:16:06.909900,2014-05-20T02:16:11.989900,4,"BAM,CPM,GBM,IA2",4,0.9991756677627563
2014-05-20T03:15:34.469900,2014-05-20T03:15:36.109900,4,"BAM,CPM,GBM,IA2",4,0.9993562698364258
2014-05-20T03:21:18.860000,2014-05-20T03:21:23.940000,5,"BAM,GBM,IA2,LAM,SAM",5,0.9974419474601746
2014-05-20T06:45:01.660000,2014-05-20T06:45:07.319900,4,"CPM,GBM,IA2,SAM",4,0.9846659898757935
