index,trace_name,trace_start_time,station_network_code,station_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,name,trace_name_original,trace_chunk
0,"bucket0$0,:3,:6001",2014-03-03T08:28:59.820000,MQ,IA2,14.80307,-61.20515,289.0,1660.0,1752.0,1660,100.0,ZNE,train,manuel,"bucket0$0,:3,:6001",
1,"bucket0$1,:3,:6001",2014-03-03T08:28:45.779900,MQ,GBM,14.799451,-61.159276,800.0,3087.0,,3087,100.0,ZNE,train,manuel,"bucket0$1,:3,:6001",
2,"bucket0$2,:3,:6001",2014-03-03T08:28:22.200000,MQ,LAM,14.81292,-61.16314,1240.0,5448.0,5484.0,5448,100.0,ZNE,train,manuel,"bucket0$2,:3,:6001",
3,"bucket1$0,:3,:6001",2014-03-03T08:29:07.639900,MQ,BAM,14.8171,-61.1445,670.0,942.0,,942,100.0,ZNE,dev,manuel,"bucket1$0,:3,:6001",
4,"bucket0$3,:3,:6001",2014-03-03T08:28:57.839900,MQ,MLM,14.7846,-61.1786,370.0,1926.0,,1926,100.0,ZNE,train,manuel,"bucket0$3,:3,:6001",
5,"bucket0$4,:3,:6001",2014-03-11T19:52:07.650000,MQ,LAM,14.81292,-61.16314,1240.0,4196.0,4239.0,4196,100.0,ZNE,train,manuel,"bucket0$4,:3,:6001",
6,"bucket0$5,:3,:6001",2014-03-11T19:52:29.299900,MQ,GBM,14.799451,-61.159276,800.0,2032.0,,2032,100.0,ZNE,train,manuel,"bucket0$5,:3,:6001",
7,"bucket0$6,:3,:6001",2014-03-11T19:51:59.729900,MQ,BAM,14.8171,-61.1445,670.0,5024.0,,5024,100.0,ZNE,train,manuel,"bucket0$6,:3,:6001",
8,"bucket0$7,:3,:6001",2014-03-11T19:52:11.739900,MQ,MLM,14.7846,-61.1786,370.0,3835.0,,3835,100.0,ZNE,train,manuel,"bucket0$7,:3,:6001",
9,"bucket2$0,:3,:6001",2014-03-11T19:51:59.010000,WI,SAM,14.84108,-61.1638,485.0,5117.0,,5117,100.0,ZNE,test,manuel,"bucket2$0,:3,:6001",
10,"bucket0$8,:3,:6001",2014-03-11T19:52:34.060000,MQ,IA2,14.80307,-61.20515,289.0,1613.0,,1613,100.0,ZNE,train,manuel,"bucket0$8,:3,:6001",
11,"bucket0$9,:3,:6001",2014-03-11T19:51:58.959900,MQ,CPM,14.8168,-61.2074,242.0,5133.0,,5133,100.0,ZNE,train,manuel,"bucket0$9,:3,:6001",
12,"bucket2$1,:3,:6001",2014-03-13T13:43:33.209900,MQ,GBM,14.799451,-61.159276,800.0,5090.0,,5090,100.0,ZNE,test,manuel,"bucket2$1,:3,:6001",
13,"bucket0$10,:3,:6001",2014-03-13T13:43:59.200000,MQ,LAM,14.81292,-61.16314,1240.0,2499.0,2563.0,2499,100.0,ZNE,train,manuel,"bucket0$10,:3,:6001",
14,"bucket0$11,:3,:6001",2014-03-13T13:44:08.179900,MQ,BAM,14.8171,-61.1445,670.0,1632.0,,1632,100.0,ZNE,train,manuel,"bucket0$11,:3,:6001",
15,"bucket0$12,:3,:6001",2014-03-13T13:43:57.250000,MQ,IA2,14.80307,-61.20515,289.0,2751.0,,2751,100.0,ZNE,train,manuel,"bucket0$12,:3,:6001",
16,"bucket0$13,:3,:6001",2014-03-13T13:43:47.069900,MQ,MLM,14.7846,-61.1786,370.0,3786.0,,3786,100.0,ZNE,train,manuel,"bucket0$13,:3,:6001",
17,"bucket0$14,:3,:6001",2014-03-13T13:43:34.149900,MQ,CPM,14.8168,-61.2074,242.0,5079.0,,5079,100.0,ZNE,train,manuel,"bucket0$14,:3,:6001",
18,"bucket2$2,:3,:6001",2014-03-15T22:56:26.279900,MQ,GBM,14.799451,-61.159276,800.0,3687.0,,3687,100.0,ZNE,test,manuel,"bucket2$2,:3,:6001",
19,"bucket0$15,:3,:6001",2014-03-15T22:56:48.620000,MQ,LAM,14.81292,-61.16314,1240.0,1460.0,1509.0,1460,100.0,ZNE,train,manuel,"bucket0$15,:3,:6001",
20,"bucket0$16,:3,:6001",2014-03-15T22:56:33.559900,MQ,BAM,14.8171,-61.1445,670.0,2998.0,,2998,100.0,ZNE,train,manuel,"bucket0$16,:3,:6001",
21,"bucket0$17,:3,:6001",2014-03-15T22:56:22.950000,MQ,IA2,14.80307,-61.20515,289.0,4083.0,4177.0,4083,100.0,ZNE,train,manuel,"bucket0$17,:3,:6001",
22,"bucket0$18,:3,:6001",2014-03-15T22:56:15.570000,WI,SAM,14.84108,-61.1638,485.0,,4927.0,4927,100.0,ZNE,train,manuel,"bucket0$18,:3,:6001",
23,"bucket0$19,:3,:6001",2014-03-16T01:17:56.279900,MQ,GBM,14.799451,-61.159276,800.0,2561.0,,2561,100.0,ZNE,train,manuel,"bucket0$19,:3,:6001",
24,"bucket0$20,:3,:6001",2014-03-16T01:17:48.730000,MQ,LAM,14.81292,-61.16314,1240.0,3321.0,3377.0,3321,100.0,ZNE,train,manuel,"bucket0$20,:3,:6001",
25,"bucket0$21,:3,:6001",2014-03-16T01:18:17.289900,MQ,BAM,14.8171,-61.1445,670.0,500.0,6497.0,500,100.0,ZNE,train,manuel,"bucket0$21,:3,:6001",
26,"bucket0$22,:3,:6001",2014-03-16T01:17:43.649900,MQ,MLM,14.7846,-61.1786,370.0,3872.0,3877.0,3872,100.0,ZNE,train,manuel,"bucket0$22,:3,:6001",
27,"bucket2$3,:3,:6001",2014-03-16T01:18:09.400000,MQ,IA2,14.80307,-61.20515,289.0,1311.0,1401.0,1311,100.0,ZNE,test,manuel,"bucket2$3,:3,:6001",
28,"bucket0$23,:3,:6001",2014-03-16T01:17:55.539900,MQ,CPM,14.8168,-61.2074,242.0,2709.0,,2709,100.0,ZNE,train,manuel,"bucket0$23,:3,:6001",
29,"bucket0$24,:3,:6001",2014-03-16T01:18:15.240000,WI,SAM,14.84108,-61.1638,485.0,771.0,850.0,771,100.0,ZNE,train,manuel,"bucket0$24,:3,:6001",
30,"bucket1$1,:3,:6001",2014-03-16T01:41:21.770000,MQ,LAM,14.81292,-61.16314,1240.0,4190.0,4242.0,4190,100.0,ZNE,dev,manuel,"bucket1$1,:3,:6001",
31,"bucket0$25,:3,:6001",2014-03-16T01:41:44.999900,MQ,GBM,14.799451,-61.159276,800.0,1910.0,,1910,100.0,ZNE,train,manuel,"bucket0$25,:3,:6001",
32,"bucket0$26,:3,:6001",2014-03-16T01:41:11.200000,WI,SAM,14.84108,-61.1638,485.0,5295.0,5389.0,5295,100.0,ZNE,train,manuel,"bucket0$26,:3,:6001",
33,"bucket0$27,:3,:6001",2014-03-16T01:41:33.319900,MQ,MLM,14.7846,-61.1786,370.0,3093.0,,3093,100.0,ZNE,train,manuel,"bucket0$27,:3,:6001",
34,"bucket0$28,:3,:6001",2014-03-16T01:41:51.040000,MQ,IA2,14.80307,-61.20515,289.0,1321.0,1413.0,1321,100.0,ZNE,train,manuel,"bucket0$28,:3,:6001",
35,"bucket0$29,:3,:6001",2014-03-16T01:41:59.659900,MQ,BAM,14.8171,-61.1445,670.0,505.0,,505,100.0,ZNE,train,manuel,"bucket0$29,:3,:6001",
36,"bucket0$30,:3,:6001",2014-03-16T03:04:57.989900,MQ,GBM,14.799451,-61.159276,800.0,2920.0,,2920,100.0,ZNE,train,manuel,"bucket0$30,:3,:6001",
37,"bucket0$31,:3,:6001",2014-03-16T03:05:13.490000,MQ,LAM,14.81292,-61.16314,1240.0,1371.0,1399.0,1371,100.0,ZNE,train,manuel,"bucket0$31,:3,:6001",
38,"bucket2$4,:3,:6001",2014-03-16T03:04:36.529900,MQ,BAM,14.8171,-61.1445,670.0,5107.0,,5107,100.0,ZNE,test,manuel,"bucket2$4,:3,:6001",
39,"bucket0$32,:3,:6001",2014-03-16T03:05:19.309900,MQ,MLM,14.7846,-61.1786,370.0,829.0,,829,100.0,ZNE,train,manuel,"bucket0$32,:3,:6001",
40,"bucket0$33,:3,:6001",2014-03-16T03:05:01.740000,WI,SAM,14.84108,-61.1638,485.0,2607.0,2705.0,2607,100.0,ZNE,train,manuel,"bucket0$33,:3,:6001",
41,"bucket1$2,:3,:6001",2014-03-16T03:04:49.080000,MQ,IA2,14.80307,-61.20515,289.0,3877.0,3973.0,3877,100.0,ZNE,dev,manuel,"bucket1$2,:3,:6001",
42,"bucket0$34,:3,:6001",2014-03-16T03:05:03.339900,MQ,CPM,14.8168,-61.2074,242.0,2461.0,,2461,100.0,ZNE,train,manuel,"bucket0$34,:3,:6001",
43,"bucket0$35,:3,:6001",2014-03-16T03:18:22.370000,MQ,LAM,14.81292,-61.16314,1240.0,3575.0,3655.0,3575,100.0,ZNE,train,manuel,"bucket0$35,:3,:6001",
44,"bucket0$36,:3,:6001",2014-03-16T03:18:34.179900,MQ,GBM,14.799451,-61.159276,800.0,2436.0,,2436,100.0,ZNE,train,manuel,"bucket0$36,:3,:6001",
