trace_name,trace_start_time,station_network_code,station_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,name,trace_name_original
"bucket0$0,:3,:6001",2014-03-03T08:28:59.820000,MQ,IA2,14.80307,-61.20515,289.0,1660.0,1752.0,1660,100.0,ZNE,train,manuel,MQ_IA2_20140303_082916
"bucket0$1,:3,:6001",2014-03-03T08:28:45.779900,MQ,GBM,14.799451,-61.159276,800.0,3087.0,,3087,100.0,ZNE,train,manuel,MQ_GBM_20140303_082916
"bucket0$2,:3,:6001",2014-03-03T08:28:22.200000,MQ,LAM,14.81292,-61.16314,1240.0,5448.0,5484.0,5448,100.0,ZNE,train,manuel,MQ_LAM_20140303_082916
"bucket1$0,:3,:6001",2014-03-03T08:29:07.639900,MQ,BAM,14.8171,-61.1445,670.0,942.0,,942,100.0,ZNE,dev,manuel,MQ_BAM_20140303_082917
"bucket0$3,:3,:6001",2014-03-03T08:28:57.839900,MQ,MLM,14.7846,-61.1786,370.0,1926.0,,1926,100.0,ZNE,train,manuel,MQ_MLM_20140303_082917
"bucket0$4,:3,:6001",2014-03-11T19:52:07.650000,MQ,LAM,14.81292,-61.16314,1240.0,4196.0,4239.0,4196,100.0,ZNE,train,manuel,MQ_LAM_20140311_195249
"bucket0$5,:3,:6001",2014-03-11T19:52:29.299900,MQ,GBM,14.799451,-61.159276,800.0,2032.0,,2032,100.0,ZNE,train,manuel,MQ_GBM_20140311_195249
"bucket0$6,:3,:6001",2014-03-11T19:51:59.729900,MQ,BAM,14.8171,-61.1445,670.0,5024.0,,5024,100.0,ZNE,train,manuel,MQ_BAM_20140311_195249
"bucket0$7,:3,:6001",2014-03-11T19:52:11.739900,MQ,MLM,14.7846,-61.1786,370.0,3835.0,,3835,100.0,ZNE,train,manuel,MQ_MLM_20140311_195250
"bucket2$0,:3,:6001",2014-03-11T19:51:59.010000,WI,SAM,14.84108,-61.1638,485.0,5117.0,,5117,100.0,ZNE,test,manuel,WI_SAM_20140311_195250
"bucket0$8,:3,:6001",2014-03-11T19:52:34.060000,MQ,IA2,14.80307,-61.20515,289.0,1613.0,,1613,100.0,ZNE,train,manuel,MQ_IA2_20140311_195250
"bucket0$9,:3,:6001",2014-03-11T19:51:58.959900,MQ,CPM,14.8168,-61.2074,242.0,5133.0,,5133,100.0,ZNE,train,manuel,MQ_CPM_20140311_195250
"bucket2$1,:3,:6001",2014-03-13T13:43:33.209900,MQ,GBM,14.799451,-61.159276,800.0,5090.0,,5090,100.0,ZNE,test,manuel,MQ_GBM_20140313_134424
"bucket0$10,:3,:6001",2014-03-13T13:43:59.200000,MQ,LAM,14.81292,-61.16314,1240.0,2499.0,2563.0,2499,100.0,ZNE,train,manuel,MQ_LAM_20140313_134424
"bucket0$11,:3,:6001",2014-03-13T13:44:08.179900,MQ,BAM,14.8171,-61.1445,670.0,1632.0,,1632,100.0,ZNE,train,manuel,MQ_BAM_20140313_134424
"bucket0$12,:3,:6001",2014-03-13T13:43:57.250000,MQ,IA2,14.80307,-61.20515,289.0,2751.0,,2751,100.0,ZNE,train,manuel,MQ_IA2_20140313_134424
"bucket0$13,:3,:6001",2014-03-13T13:43:47.069900,MQ,MLM,14.7846,-61.1786,370.0,3786.0,,3786,100.0,ZNE,train,manuel,MQ_MLM_20140313_134424
"bucket0$14,:3,:6001",2014-03-13T13:43:34.149900,MQ,CPM,14.8168,-61.2074,242.0,5079.0,,5079,100.0,ZNE,train,manuel,MQ_CPM_20140313_134424
"bucket2$2,:3,:6001",2014-03-15T22:56:26.279900,MQ,GBM,14.799451,-61.159276,800.0,3687.0,,3687,100.0,ZNE,test,manuel,MQ_GBM_20140315_225703
"bucket0$15,:3,:6001",2014-03-15T22:56:48.620000,MQ,LAM,14.81292,-61.16314,1240.0,1460.0,1509.0,1460,100.0,ZNE,train,manuel,MQ_LAM_20140315_225703
"bucket0$16,:3,:6001",2014-03-15T22:56:33.559900,MQ,BAM,14.8171,-61.1445,670.0,2998.0,,2998,100.0,ZNE,train,manuel,MQ_BAM_20140315_225703
"bucket0$17,:3,:6001",2014-03-15T22:56:22.950000,MQ,IA2,14.80307,-61.20515,289.0,4083.0,4177.0,4083,100.0,ZNE,train,manuel,MQ_IA2_20140315_225703
"bucket0$18,:3,:6001",2014-03-15T22:56:15.570000,WI,SAM,14.84108,-61.1638,485.0,,4927.0,4927,100.0,ZNE,train,manuel,WI_SAM_20140315_225704
"bucket0$19,:3,:6001",2014-03-16T01:17:56.279900,MQ,GBM,14.799451,-61.159276,800.0,2561.0,,2561,100.0,ZNE,train,manuel,MQ_GBM_20140316_011821
"bucket0$20,:3,:6001",2014-03-16T01:17:48.730000,MQ,LAM,14.81292,-61.16314,1240.0,3321.0,3377.0,3321,100.0,ZNE,train,manuel,MQ_LAM_20140316_011821
