index,trace_name,trace_start_time,station_network_code,station_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,name,trace_name_original,trace_chunk
0,"bucket0$0,:3,:6001",2014-03-03T08:29:03,MQ,IA2,14.80307,-61.20515,289.0,1342.0,1434.0,1342,100.0,ZNE,train,manuel,"bucket0$0,:3,:6001",
1,"bucket0$1,:3,:6001",2014-03-03T08:29:10.979900,MQ,GBM,14.799451,-61.159276,800.0,567.0,,567,100.0,ZNE,train,manuel,"bucket0$1,:3,:6001",
2,"bucket0$2,:3,:6001",2014-03-03T08:28:39.980000,MQ,LAM,14.81292,-61.16314,1240.0,3670.0,3706.0,3670,100.0,ZNE,train,manuel,"bucket0$2,:3,:6001",
3,"bucket0$3,:3,:6001",2014-03-03T08:28:40.969900,MQ,BAM,14.8171,-61.1445,670.0,3609.0,,3609,100.0,ZNE,train,manuel,"bucket0$3,:3,:6001",
4,"bucket4$0,:3,:6001",2014-03-03T08:28:52.169900,MQ,MLM,14.7846,-61.1786,370.0,2493.0,,2493,100.0,ZNE,test,manuel,"bucket1$0,:3,:6001",
5,"bucket0$4,:3,:6001",2014-03-04T02:19:36.100000,MQ,LAM,14.81292,-61.16314,1240.0,2814.0,2857.0,2814,100.0,ZNE,train,manuel,"bucket0$4,:3,:6001",
6,"bucket0$5,:3,:6001",2014-03-04T02:19:39.109900,MQ,BAM,14.8171,-61.1445,670.0,2545.0,,2545,100.0,ZNE,train,manuel,"bucket0$5,:3,:6001",
7,"bucket0$6,:3,:6001",2014-03-04T02:19:42.789900,MQ,GBM,14.799451,-61.159276,800.0,2183.0,,2183,100.0,ZNE,train,manuel,"bucket0$6,:3,:6001",
8,"bucket5$0,:3,:6001",2014-03-04T22:25:20.789900,MQ,GBM,14.799451,-61.159276,800.0,1876.0,,1876,100.0,ZNE,dev,manuel,"bucket2$0,:3,:6001",
9,"bucket0$7,:3,:6001",2014-03-04T22:25:23.620000,MQ,LAM,14.81292,-61.16314,1240.0,1598.0,,1598,100.0,ZNE,train,manuel,"bucket0$7,:3,:6001",
10,"bucket0$8,:3,:6001",2014-03-04T22:25:13.799900,MQ,BAM,14.8171,-61.1445,670.0,,2620.0,2620,100.0,ZNE,train,manuel,"bucket0$8,:3,:6001",
11,"bucket0$9,:3,:6001",2014-03-05T04:32:06.569900,MQ,GBM,14.799451,-61.159276,800.0,1539.0,,1539,100.0,ZNE,train,manuel,"bucket0$9,:3,:6001",
12,"bucket0$10,:3,:6001",2014-03-05T04:32:09.650000,MQ,LAM,14.81292,-61.16314,1240.0,1245.0,,1245,100.0,ZNE,train,manuel,"bucket0$10,:3,:6001",
13,"bucket0$11,:3,:6001",2014-03-05T04:31:28.989900,MQ,BAM,14.8171,-61.1445,670.0,5325.0,,5325,100.0,ZNE,train,manuel,"bucket0$11,:3,:6001",
14,"bucket0$12,:3,:6001",2014-03-05T04:31:39.730000,MQ,IA2,14.80307,-61.20515,289.0,4266.0,4438.0,4266,100.0,ZNE,train,manuel,"bucket0$12,:3,:6001",
15,"bucket0$13,:3,:6001",2014-03-05T05:12:08.160000,MQ,LAM,14.81292,-61.16314,1240.0,1632.0,1695.0,1632,100.0,ZNE,train,manuel,"bucket0$13,:3,:6001",
16,"bucket0$14,:3,:6001",2014-03-05T05:12:07.359900,MQ,GBM,14.799451,-61.159276,800.0,1735.0,,1735,100.0,ZNE,train,manuel,"bucket0$14,:3,:6001",
17,"bucket4$1,:3,:6001",2014-03-11T19:52:41.380000,MQ,LAM,14.81292,-61.16314,1240.0,823.0,866.0,823,100.0,ZNE,test,manuel,"bucket1$1,:3,:6001",
18,"bucket0$15,:3,:6001",2014-03-11T19:52:02.899900,MQ,GBM,14.799451,-61.159276,800.0,4672.0,,4672,100.0,ZNE,train,manuel,"bucket0$15,:3,:6001",
19,"bucket0$16,:3,:6001",2014-03-11T19:51:59.749900,MQ,BAM,14.8171,-61.1445,670.0,5022.0,,5022,100.0,ZNE,train,manuel,"bucket0$16,:3,:6001",
20,"bucket0$17,:3,:6001",2014-03-11T19:52:14.389900,MQ,MLM,14.7846,-61.1786,370.0,3570.0,,3570,100.0,ZNE,train,manuel,"bucket0$17,:3,:6001",
21,"bucket0$18,:3,:6001",2014-03-11T19:52:30.370000,WI,SAM,14.84108,-61.1638,485.0,1980.0,,1980,100.0,ZNE,train,manuel,"bucket0$18,:3,:6001",
22,"bucket0$19,:3,:6001",2014-03-11T19:51:55.760000,MQ,IA2,14.80307,-61.20515,289.0,5443.0,,5443,100.0,ZNE,train,manuel,"bucket0$19,:3,:6001",
23,"bucket0$20,:3,:6001",2014-03-11T19:52:10.109900,MQ,CPM,14.8168,-61.2074,242.0,4018.0,,4018,100.0,ZNE,train,manuel,"bucket0$20,:3,:6001",
24,"bucket0$21,:3,:6001",2014-03-13T13:43:55.309900,MQ,GBM,14.799451,-61.159276,800.0,2880.0,,2880,100.0,ZNE,train,manuel,"bucket0$21,:3,:6001",
25,"bucket5$1,:3,:6001",2014-03-13T13:43:36.900000,MQ,LAM,14.81292,-61.16314,1240.0,4729.0,4793.0,4729,100.0,ZNE,dev,manuel,"bucket2$1,:3,:6001",
26,"bucket0$22,:3,:6001",2014-03-13T13:44:05.719900,MQ,BAM,14.8171,-61.1445,670.0,1878.0,,1878,100.0,ZNE,train,manuel,"bucket0$22,:3,:6001",
27,"bucket0$23,:3,:6001",2014-03-13T13:44:10.470000,MQ,IA2,14.80307,-61.20515,289.0,1429.0,,1429,100.0,ZNE,train,manuel,"bucket0$23,:3,:6001",
28,"bucket0$24,:3,:6001",2014-03-13T13:43:59.919900,MQ,MLM,14.7846,-61.1786,370.0,2501.0,,2501,100.0,ZNE,train,manuel,"bucket0$24,:3,:6001",
29,"bucket0$25,:3,:6001",2014-03-13T13:43:44.889900,MQ,CPM,14.8168,-61.2074,242.0,4005.0,,4005,100.0,ZNE,train,manuel,"bucket0$25,:3,:6001",
30,"bucket0$26,:3,:6001",2014-03-13T22:37:55.079900,MQ,GBM,14.799451,-61.159276,800.0,518.0,,518,100.0,ZNE,train,manuel,"bucket0$26,:3,:6001",
31,"bucket0$27,:3,:6001",2014-03-13T22:37:29.529900,MQ,BAM,14.8171,-61.1445,670.0,3100.0,,3100,100.0,ZNE,train,manuel,"bucket0$27,:3,:6001",
32,"bucket0$28,:3,:6001",2014-03-13T22:37:36.740000,MQ,LAM,14.81292,-61.16314,1240.0,,2403.0,2403,100.0,ZNE,train,manuel,"bucket0$28,:3,:6001",
33,"bucket0$29,:3,:6001",2014-03-13T23:04:22.499900,MQ,GBM,14.799451,-61.159276,800.0,3501.0,,3501,100.0,ZNE,train,manuel,"bucket0$29,:3,:6001",
34,"bucket0$30,:3,:6001",2014-03-13T23:04:35.900000,MQ,LAM,14.81292,-61.16314,1240.0,2162.0,2201.0,2162,100.0,ZNE,train,manuel,"bucket0$30,:3,:6001",
35,"bucket0$31,:3,:6001",2014-03-14T00:15:54.199900,MQ,BAM,14.8171,-61.1445,670.0,501.0,,501,100.0,ZNE,train,manuel,"bucket0$31,:3,:6001",
36,"bucket0$32,:3,:6001",2014-03-14T00:15:14.940000,MQ,LAM,14.81292,-61.16314,1240.0,4485.0,4538.0,4485,100.0,ZNE,train,manuel,"bucket0$32,:3,:6001",
37,"bucket0$33,:3,:6001",2014-03-14T00:15:21.579900,MQ,GBM,14.799451,-61.159276,800.0,3831.0,,3831,100.0,ZNE,train,manuel,"bucket0$33,:3,:6001",
38,"bucket0$34,:3,:6001",2014-03-14T00:15:39.370000,MQ,IA2,14.80307,-61.20515,289.0,2108.0,2164.0,2108,100.0,ZNE,train,manuel,"bucket0$34,:3,:6001",
39,"bucket4$2,:3,:6001",2014-03-14T09:38:12.729900,MQ,GBM,14.799451,-61.159276,800.0,3518.0,,3518,100.0,ZNE,test,manuel,"bucket1$2,:3,:6001",
40,"bucket5$2,:3,:6001",2014-03-14T09:38:18.830000,MQ,LAM,14.81292,-61.16314,1240.0,2911.0,2950.0,2911,100.0,ZNE,dev,manuel,"bucket2$2,:3,:6001",
41,"bucket0$35,:3,:6001",2014-03-14T09:38:32.649900,MQ,BAM,14.8171,-61.1445,670.0,1562.0,,1562,100.0,ZNE,train,manuel,"bucket0$35,:3,:6001",
42,"bucket0$36,:3,:6001",2014-03-15T01:20:28.080000,MQ,LAM,14.81292,-61.16314,1240.0,2963.0,3028.0,2963,100.0,ZNE,train,manuel,"bucket0$36,:3,:6001",
43,"bucket0$37,:3,:6001",2014-03-15T01:20:04.869900,MQ,GBM,14.799451,-61.159276,800.0,5302.0,,5302,100.0,ZNE,train,manuel,"bucket0$37,:3,:6001",
44,"bucket0$38,:3,:6001",2014-03-15T01:20:28.949900,MQ,BAM,14.8171,-61.1445,670.0,2932.0,,2932,100.0,ZNE,train,manuel,"bucket0$38,:3,:6001",
45,"bucket5$3,:3,:6001",2014-03-15T02:41:00.619900,MQ,GBM,14.799451,-61.159276,800.0,645.0,,645,100.0,ZNE,dev,manuel,"bucket2$3,:3,:6001",
46,"bucket0$39,:3,:6001",2014-03-15T02:40:20.230000,MQ,LAM,14.81292,-61.16314,1240.0,4689.0,,4689,100.0,ZNE,train,manuel,"bucket0$39,:3,:6001",
47,"bucket0$40,:3,:6001",2014-03-15T02:40:48.259900,MQ,BAM,14.8171,-61.1445,670.0,1916.0,,1916,100.0,ZNE,train,manuel,"bucket0$40,:3,:6001",
48,"bucket0$41,:3,:6001",2014-03-15T02:40:54.260000,MQ,IA2,14.80307,-61.20515,289.0,1336.0,1432.0,1336,100.0,ZNE,train,manuel,"bucket0$41,:3,:6001",
49,"bucket0$42,:3,:6001",2014-03-15T21:53:41.970000,MQ,LAM,14.81292,-61.16314,1240.0,1973.0,2023.0,1973,100.0,ZNE,train,manuel,"bucket0$42,:3,:6001",
50,"bucket0$43,:3,:6001",2014-03-15T21:53:08.129900,MQ,GBM,14.799451,-61.159276,800.0,5363.0,,5363,100.0,ZNE,train,manuel,"bucket0$43,:3,:6001",
51,"bucket0$44,:3,:6001",2014-03-15T21:53:54.739900,MQ,BAM,14.8171,-61.1445,670.0,822.0,,822,100.0,ZNE,train,manuel,"bucket0$44,:3,:6001",
52,"bucket5$4,:3,:6001",2014-03-15T22:47:54.160000,MQ,LAM,14.81292,-61.16314,1240.0,3037.0,3107.0,3037,100.0,ZNE,dev,manuel,"bucket2$4,:3,:6001",
53,"bucket0$45,:3,:6001",2014-03-15T22:47:51.249900,MQ,BAM,14.8171,-61.1445,670.0,3357.0,,3357,100.0,ZNE,train,manuel,"bucket0$45,:3,:6001",
54,"bucket0$46,:3,:6001",2014-03-15T22:48:01.839900,MQ,GBM,14.799451,-61.159276,800.0,2322.0,,2322,100.0,ZNE,train,manuel,"bucket0$46,:3,:6001",
55,"bucket0$47,:3,:6001",2014-03-15T22:48:10.570000,MQ,IA2,14.80307,-61.20515,289.0,,1553.0,1553,100.0,ZNE,train,manuel,"bucket0$47,:3,:6001",
56,"bucket4$3,:3,:6001",2014-03-15T22:56:41.509900,MQ,GBM,14.799451,-61.159276,800.0,2164.0,,2164,100.0,ZNE,test,manuel,"bucket1$3,:3,:6001",
