trace_name,trace_start_time,station_network_code,station_code,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,name,trace_name_original
"bucket2$0,:3,:6001",2014-02-20T08:26:36.129900,MQ,CPM,3000,,3000,100.0,ZNE,dev,gold,MQ_CPM_GOLD_20140220_082706
MQ_IA2_GOLD_20140220_082710,2014-02-20T08:27:35.750000,MQ,IA2,-2482,-2479.0,-2482,100.0,ZNE,test,gold,
"bucket2$1,:3,:6001",2014-02-20T08:26:45.259900,MQ,MLM,3000,,3000,100.0,ZNE,dev,gold,MQ_MLM_GOLD_20140220_082715
"bucket0$0,:3,:6001",2014-02-20T08:26:35.510000,MQ,SAM,3000,3050.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_082705
"bucket0$1,:3,:6001",2014-02-20T21:18:49.879900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_211919
"bucket0$2,:3,:6001",2014-02-20T21:18:49.079900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_211919
"bucket0$3,:3,:6001",2014-02-20T21:18:49.379900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140220_211919
"bucket0$4,:3,:6001",2014-02-20T21:18:50.050000,MQ,IA2,3000,3101.0,3000,100.0,ZNE,train,gold,MQ_IA2_GOLD_20140220_211920
"bucket0$5,:3,:6001",2014-02-20T21:18:50.930000,MQ,LAM,3000,3164.0,3000,100.0,ZNE,train,gold,MQ_LAM_GOLD_20140220_211920
"bucket0$6,:3,:6001",2014-02-20T21:18:50.049900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_211920
"bucket0$7,:3,:6001",2014-02-20T21:19:05.049900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_211935
"bucket0$8,:3,:6001",2014-02-20T21:19:05.699900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140220_211935
"bucket0$9,:3,:6001",2014-02-20T21:19:05.550000,MQ,IA2,3000,3190.0,3000,100.0,ZNE,train,gold,MQ_IA2_GOLD_20140220_211935
"bucket0$10,:3,:6001",2014-02-20T21:19:04.740000,MQ,LAM,3000,3125.0,3000,100.0,ZNE,train,gold,MQ_LAM_GOLD_20140220_211934
"bucket4$0,:3,:6001",2014-02-21T06:59:55.609900,MQ,BAM,3000,,3000,100.0,ZNE,test,gold,MQ_BAM_GOLD_20140221_070025
"bucket0$11,:3,:6001",2014-02-21T06:59:55.749900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140221_070025
"bucket0$12,:3,:6001",2014-02-21T06:59:56.429900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140221_070026
"bucket0$13,:3,:6001",2014-02-21T06:59:55.759900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140221_070025
"bucket0$14,:3,:6001",2014-02-21T07:00:08.559900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140221_070038
"bucket0$15,:3,:6001",2014-02-21T07:00:09.169900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140221_070039
"bucket0$16,:3,:6001",2014-02-21T07:00:09.039900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140221_070039
"bucket0$17,:3,:6001",2014-02-21T07:00:08.690000,MQ,LAM,3000,,3000,100.0,ZNE,train,gold,MQ_LAM_GOLD_20140221_070038
"bucket0$18,:3,:6001",2014-02-21T07:00:09.609900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140221_070039
"bucket0$19,:3,:6001",2014-02-21T07:00:09.410000,MQ,SAM,3000,3120.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140221_070039
"bucket0$20,:3,:6001",2014-02-21T08:35:06.889900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140221_083536
"bucket2$2,:3,:6001",2014-02-21T08:35:06.299900,MQ,GBM,3000,,3000,100.0,ZNE,dev,gold,MQ_GBM_GOLD_20140221_083536
"bucket0$21,:3,:6001",2014-02-21T08:35:07.050000,MQ,IA2,3000,3063.0,3000,100.0,ZNE,train,gold,MQ_IA2_GOLD_20140221_083537
"bucket0$22,:3,:6001",2014-02-21T08:35:07.330000,MQ,LAM,3000,3036.0,3000,100.0,ZNE,train,gold,MQ_LAM_GOLD_20140221_083537
"bucket0$23,:3,:6001",2014-02-21T18:51:27.409900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140221_185157
"bucket0$24,:3,:6001",2014-02-21T18:51:27.909900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140221_185157
