time_debut,time_fin,n_stations,stations,n_picks,probabilite_max
2014-02-20T08:27:05.510000,2014-02-20T08:27:15.259900,4,"CPM,IA2,MLM,SAM",4,0.9997845888137817
2014-02-20T21:19:19.079900,2014-02-20T21:19:20.930000,6,"BAM,CPM,GBM,IA2,LAM,MLM",6,1.0
2014-02-20T21:19:34.740000,2014-02-20T21:19:35.699900,4,"BAM,GBM,IA2,LAM",4,0.9999997615814209
2014-02-21T07:00:25.609900,2014-02-21T07:00:26.429900,4,"BAM,CPM,GBM,MLM",4,0.999992311000824
2014-02-21T07:00:38.559900,2014-02-21T07:00:39.609900,6,"BAM,CPM,GBM,LAM,MLM,SAM",6,1.0
2014-02-21T08:35:36.299900,2014-02-21T08:35:37.330000,4,"BAM,GBM,IA2,LAM",4,1.0
2014-02-21T18:51:57.409900,2014-02-21T18:51:58.339900,4,"BAM,CPM,GBM,IA2",4,0.9991598129272461
2014-02-22T19:12:14.069900,2014-02-22T19:12:18.169900,4,"CPM,GBM,IA2,MLM",4,0.9888448119163513
2014-02-23T00:10:04.949900,2014-02-23T00:10:05.920000,7,"BAM,CPM,GBM,IA2,LAM,MLM,SAM",7,1.0
2014-02-23T01:34:35.720000,2014-02-23T01:34:41.140000,4,"BAM,CPM,IA2,SAM",4,1.0
2014-02-23T03:59:40.680000,2014-02-23T03:59:42.699900,4,"CPM,GBM,IA2,MLM",4,0.9999324679374695
2014-02-23T07:46:05.639900,2014-02-23T07:46:14.759900,4,"BAM,CPM,IA2,LAM",7,0.9996237754821777
2014-02-23T07:47:00.179900,2014-02-23T07:47:00.659900,4,"BAM,CPM,GBM,MLM",4,0.9999998211860657
2014-02-23T09:41:29.509900,2014-02-23T09:41:34.959900,4,"BAM,CPM,GBM,MLM",7,0.9998818635940552
2014-02-23T16:30:57.280000,2014-02-23T16:30:58.649900,4,"BAM,CPM,GBM,IA2",4,1.0
2014-02-24T01:00:31.829900,2014-02-24T01:00:33.869900,4,"BAM,CPM,GBM,IA2",4,0.999768078327179
2014-02-24T12:48:17.229900,2014-02-24T12:48:18.419900,7,"BAM,CPM,GBM,IA2,LAM,MLM,SAM",7,1.0
2014-02-24T13:15:41.049900,2014-02-24T13:15:49.249900,5,"BAM,CPM,GBM,MLM,SAM",6,1.0
2014-02-24T13:16:04.779900,2014-02-24T13:16:12.589900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T13:16:19.609900,2014-02-24T13:16:28.229900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:17:04.409900,2014-02-24T13:17:09.189900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:17:45.959900,2014-02-24T13:17:46.879900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:17:59.109900,2014-02-24T13:18:01.529900,4,"BAM,CPM,IA2,MLM",4,1.0
2014-02-24T13:18:23.779900,2014-02-24T13:18:32.629900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T13:19:01.369900,2014-02-24T13:19:09.619900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:19:46.029900,2014-02-24T13:19:51.279900,5,"BAM,CPM,GBM,IA2,MLM",5,1.0
2014-02-24T13:20:25.729900,2014-02-24T13:20:33.119900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:21:00.459900,2014-02-24T13:21:08.289900,5,"BAM,CPM,GBM,MLM,SAM",6,1.0
2014-02-24T13:21:38.120000,2014-02-24T13:21:47.039900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T13:22:18.229900,2014-02-24T13:22:26.029900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:22:32.729900,2014-02-24T13:22:41.569900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T13:23:04.329900,2014-02-24T13:23:12.659900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:23:19.959900,2014-02-24T13:23:28.389900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T13:23:43.839900,2014-02-24T13:23:51.609900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:24:53.929900,2014-02-24T13:25:03.559900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:25:38.979900,2014-02-24T13:25:43.239900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:26:16.499900,2014-02-24T13:26:22.849900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:27:02.709900,2014-02-24T13:27:06.159900,5,"BAM,CPM,GBM,IA2,MLM",5,1.0
2014-02-24T13:27:42.289900,2014-02-24T13:27:45.089900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:28:20.729900,2014-02-24T13:28:25.939900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:28:52.930000,2014-02-24T13:29:02.869900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T13:30:12.559900,2014-02-24T13:30:21.059900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:30:36.119900,2014-02-24T13:30:45.199900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T13:30:58.989900,2014-02-24T13:31:07.249900,5,"BAM,CPM,GBM,MLM,SAM",6,1.0
2014-02-24T13:31:38.599900,2014-02-24T13:31:40.699900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:32:17.219900,2014-02-24T13:32:24.989900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:32:29.349900,2014-02-24T13:32:36.319900,4,"BAM,CPM,IA2,MLM",4,1.0
2014-02-24T13:32:59.869900,2014-02-24T13:33:06.719900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:33:39.549900,2014-02-24T13:33:45.999900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:34:18.990000,2014-02-24T13:34:21.699900,4,"BAM,GBM,IA2,MLM",4,1.0
2014-02-24T13:34:53.089900,2014-02-24T13:35:00.689900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T13:35:08.649900,2014-02-24T13:35:16.219900,4,"BAM,CPM,MLM,SAM",5,1.0
2014-02-24T13:35:31.669900,2014-02-24T13:35:39.479900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:36:00.819900,2014-02-24T13:36:10.609900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T13:36:57.319900,2014-02-24T13:37:05.099900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:37:36.239900,2014-02-24T13:37:44.079900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:37:51.889900,2014-02-24T13:37:59.529900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T13:38:23.139900,2014-02-24T13:38:30.709900,4,"BAM,CPM,MLM,SAM",5,1.0
2014-02-24T13:38:51.919900,2014-02-24T13:39:01.809900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:39:02.730000,2014-02-24T13:39:09.459900,4,"BAM,CPM,IA2,MLM",4,1.0
2014-02-24T13:39:32.189900,2014-02-24T13:39:40.759900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:39:44.569900,2014-02-24T13:39:48.479900,4,"BAM,CPM,IA2,MLM",4,1.0
