trace_name,trace_start_time,station_network_code,station_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,name,trace_name_original
"bucket0$0,:3,:6001",2014-03-03T08:28:49.340000,MQ,IA2,14.80307,-61.20515,289.0,2708.0,2800.0,2708,100.0,ZNE,train,manuel,MQ_IA2_20140303_082916
"bucket0$1,:3,:6001",2014-03-03T08:28:56.139900,MQ,GBM,14.799451,-61.159276,800.0,2051.0,,2051,100.0,ZNE,train,manuel,MQ_GBM_20140303_082916
"bucket0$2,:3,:6001",2014-03-03T08:28:41.290000,MQ,LAM,14.81292,-61.16314,1240.0,3539.0,3575.0,3539,100.0,ZNE,train,manuel,MQ_LAM_20140303_082916
"bucket0$3,:3,:6001",2014-03-03T08:29:07.109900,MQ,BAM,14.8171,-61.1445,670.0,995.0,,995,100.0,ZNE,train,manuel,MQ_BAM_20140303_082917
"bucket0$4,:3,:6001",2014-03-03T08:28:26.039900,MQ,MLM,14.7846,-61.1786,370.0,5106.0,,5106,100.0,ZNE,train,manuel,MQ_MLM_20140303_082917
"bucket0$5,:3,:6001",2014-03-04T02:19:53.360000,MQ,LAM,14.81292,-61.16314,1240.0,1088.0,1131.0,1088,100.0,ZNE,train,manuel,MQ_LAM_20140304_022004
"bucket0$6,:3,:6001",2014-03-04T02:19:49.969900,MQ,BAM,14.8171,-61.1445,670.0,1459.0,,1459,100.0,ZNE,train,manuel,MQ_BAM_20140304_022004
"bucket0$7,:3,:6001",2014-03-04T02:19:57.599900,MQ,GBM,14.799451,-61.159276,800.0,702.0,,702,100.0,ZNE,train,manuel,MQ_GBM_20140304_022004
"bucket0$8,:3,:6001",2014-03-04T03:21:30.569900,MQ,GBM,14.799451,-61.159276,800.0,4610.0,,4610,100.0,ZNE,train,manuel,MQ_GBM_20140304_032216
"bucket0$9,:3,:6001",2014-03-04T03:21:39.630000,MQ,LAM,14.81292,-61.16314,1240.0,3708.0,3728.0,3708,100.0,ZNE,train,manuel,MQ_LAM_20140304_032216
"bucket1$0,:3,:6001",2014-03-04T03:21:58.370000,MQ,IA2,14.80307,-61.20515,289.0,1860.0,1890.0,1860,100.0,ZNE,dev,manuel,MQ_IA2_20140304_032216
