trace_name,trace_start_time,station_network_code,station_code,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,name,trace_name_original
"bucket0$0,:3,:6001",2014-02-20T00:05:51.809900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_000621
"bucket0$1,:3,:6001",2014-02-20T00:05:52.869900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_000622
"bucket0$2,:3,:6001",2014-02-20T00:05:59.619900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_000629
"bucket0$3,:3,:6001",2014-02-20T00:05:56.460000,MQ,SAM,3000,3057.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_000626
"bucket0$4,:3,:6001",2014-02-20T03:20:04.289900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_032034
"bucket0$5,:3,:6001",2014-02-20T03:20:01.579900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_032031
"bucket0$6,:3,:6001",2014-02-20T03:20:08.400000,MQ,SAM,3000,,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_032038
"bucket0$7,:3,:6001",2014-02-20T05:39:47.729900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_054017
"bucket6$0,:3,:6001",2014-02-20T05:39:46.569900,MQ,GBM,3000,,3000,100.0,ZNE,test,gold,MQ_GBM_GOLD_20140220_054016
"bucket0$8,:3,:6001",2014-02-20T05:39:46.850000,MQ,SAM,3000,3225.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_054016
"bucket6$1,:3,:6001",2014-02-20T05:43:06.039900,MQ,BAM,3000,,3000,100.0,ZNE,test,gold,MQ_BAM_GOLD_20140220_054336
"bucket0$9,:3,:6001",2014-02-20T05:43:06.469900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_054336
"bucket0$10,:3,:6001",2014-02-20T05:43:06.150000,MQ,SAM,3000,3224.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_054336
"bucket0$11,:3,:6001",2014-02-20T06:54:57.809900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_065527
"bucket0$12,:3,:6001",2014-02-20T06:54:54.609900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_065524
"bucket7$0,:3,:3500",2014-02-20T06:54:59.750000,MQ,LAM,2411,2627.0,2411,100.0,ZNE,train,gold,MQ_LAM_GOLD_20140220_065523
"bucket0$13,:3,:6001",2014-02-20T08:01:10.599900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_080140
"bucket8$0,:3,:2700",2014-02-20T08:01:11.750000,MQ,IA2,1911,1982.0,1911,100.0,ZNE,train,gold,MQ_IA2_GOLD_20140220_080130
