time_debut,time_fin,n_stations,stations,n_picks,probabilite_max
2014-02-20T00:06:21.809900,2014-02-20T00:06:29.619900,4,"BAM,CPM,MLM,SAM",4,0.9741292595863342
2014-02-20T03:20:31.579900,2014-02-20T03:20:40.310000,4,"BAM,CPM,IA2,SAM",5,0.9999871253967285
2014-02-20T05:40:16.569900,2014-02-20T05:40:20.210000,4,"BAM,GBM,IA2,SAM",4,0.9999303221702576
2014-02-20T05:43:32.820000,2014-02-20T05:43:39.260000,4,"BAM,CPM,IA2,SAM",5,0.9999996423721313
2014-02-20T06:55:23.860000,2014-02-20T06:55:30.100000,4,"BAM,CPM,IA2,LAM",5,0.999898374080658
2014-02-20T08:01:30.860000,2014-02-20T08:01:40.599900,4,"BAM,IA2,LAM,SAM",5,0.9999959468841553
2014-02-20T08:18:00.740000,2014-02-20T08:18:09.079900,4,"BAM,IA2,MLM,SAM",6,0.9999998807907104
2014-02-20T08:21:44.910000,2014-02-20T08:21:54.640000,4,"BAM,CPM,IA2,SAM",5,0.9965558052062988
2014-02-20T08:35:56.239900,2014-02-20T08:36:06.170000,4,"BAM,IA2,MLM,SAM",4,0.998114824295044
2014-02-20T09:01:55.459900,2014-02-20T09:01:59.980000,4,"BAM,IA2,LAM,MLM",4,0.9643290042877197
2014-02-20T09:08:29.849900,2014-02-20T09:08:37.790000,4,"BAM,IA2,LAM,MLM",4,1.0
2014-02-20T09:22:35.659900,2014-02-20T09:22:44.590000,4,"BAM,IA2,MLM,SAM",4,0.9999843835830688
2014-02-20T09:41:09.760000,2014-02-20T09:41:15.259900,4,"BAM,CPM,IA2,MLM",4,0.9985405206680298
2014-02-20T10:00:12.880000,2014-02-20T10:00:22.409900,4,"BAM,CPM,IA2,MLM",4,0.9846680164337158
2014-02-20T10:07:11.140000,2014-02-20T10:07:18.320000,5,"BAM,CPM,IA2,MLM,SAM",6,0.9999128580093384
2014-02-20T10:23:34.499900,2014-02-20T10:23:43.259900,4,"BAM,CPM,IA2,MLM",5,0.9999948143959045
2014-02-20T10:39:49.470000,2014-02-20T10:39:56.079900,4,"GBM,IA2,LAM,MLM",6,0.9960986375808716
2014-02-20T11:12:40.209900,2014-02-20T11:12:47.939900,4,"BAM,CPM,GBM,MLM",4,0.9515306949615479
2014-02-20T11:13:15.039900,2014-02-20T11:13:20.449900,4,"BAM,GBM,IA2,MLM",4,0.9999983906745911
2014-02-20T11:25:22.250000,2014-02-20T11:25:26.280000,4,"BAM,IA2,MLM,SAM",4,0.9999982118606567
