trace_name,trace_start_time,station_network_code,station_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,name,trace_name_original
"bucket0$0,:3,:6001",2014-03-03T08:29:10.170000,MQ,IA2,14.80307,-61.20515,289.0,625.0,717.0,625,100.0,ZNE,train,manuel,MQ_IA2_20140303_082916
"bucket0$1,:3,:6001",2014-03-03T08:28:37.639900,MQ,GBM,14.799451,-61.159276,800.0,3901.0,,3901,100.0,ZNE,train,manuel,MQ_GBM_20140303_082916
"bucket0$2,:3,:6001",2014-03-03T08:28:57.460000,MQ,LAM,14.81292,-61.16314,1240.0,1922.0,1958.0,1922,100.0,ZNE,train,manuel,MQ_LAM_20140303_082916
"bucket1$0,:3,:6001",2014-03-03T08:28:55.329900,MQ,BAM,14.8171,-61.1445,670.0,2173.0,,2173,100.0,ZNE,test,manuel,MQ_BAM_20140303_082917
"bucket1$1,:3,:6001",2014-03-03T08:28:36.999900,MQ,MLM,14.7846,-61.1786,370.0,4010.0,,4010,100.0,ZNE,test,manuel,MQ_MLM_20140303_082917
"bucket0$3,:3,:6001",2014-03-04T02:19:31.340000,MQ,LAM,14.81292,-61.16314,1240.0,3290.0,3333.0,3290,100.0,ZNE,train,manuel,MQ_LAM_20140304_022004
"bucket0$4,:3,:6001",2014-03-04T02:19:55.319900,MQ,BAM,14.8171,-61.1445,670.0,924.0,,924,100.0,ZNE,train,manuel,MQ_BAM_20140304_022004
"bucket0$5,:3,:6001",2014-03-04T02:19:58.949900,MQ,GBM,14.799451,-61.159276,800.0,567.0,,567,100.0,ZNE,train,manuel,MQ_GBM_20140304_022004
"bucket0$6,:3,:6001",2014-03-04T03:21:24.799900,MQ,GBM,14.799451,-61.159276,800.0,5187.0,,5187,100.0,ZNE,train,manuel,MQ_GBM_20140304_032216
"bucket0$7,:3,:6001",2014-03-04T03:22:04.820000,MQ,LAM,14.81292,-61.16314,1240.0,1189.0,1209.0,1189,100.0,ZNE,train,manuel,MQ_LAM_20140304_032216
"bucket0$8,:3,:6001",2014-03-04T03:21:35.720000,MQ,IA2,14.80307,-61.20515,289.0,4125.0,4155.0,4125,100.0,ZNE,train,manuel,MQ_IA2_20140304_032216
"bucket0$9,:3,:6001",2014-03-04T03:21:56.429900,MQ,BAM,14.8171,-61.1445,670.0,2065.0,,2065,100.0,ZNE,train,manuel,MQ_BAM_20140304_032217
"bucket0$10,:3,:6001",2014-03-04T04:11:27.540000,MQ,LAM,14.81292,-61.16314,1240.0,4166.0,4217.0,4166,100.0,ZNE,train,manuel,MQ_LAM_20140304_041209
"bucket0$11,:3,:6001",2014-03-04T04:11:30.439900,MQ,GBM,14.799451,-61.159276,800.0,3881.0,3978.0,3881,100.0,ZNE,train,manuel,MQ_GBM_20140304_041209
"bucket0$12,:3,:6001",2014-03-04T04:11:45.219900,MQ,BAM,14.8171,-61.1445,670.0,2429.0,2521.0,2429,100.0,ZNE,train,manuel,MQ_BAM_20140304_041209
"bucket0$13,:3,:6001",2014-03-04T04:20:27.139900,MQ,GBM,14.799451,-61.159276,800.0,2527.0,,2527,100.0,ZNE,train,manuel,MQ_GBM_20140304_042052
"bucket0$14,:3,:6001",2014-03-04T04:20:16.580000,MQ,LAM,14.81292,-61.16314,1240.0,3586.0,3640.0,3586,100.0,ZNE,train,manuel,MQ_LAM_20140304_042052
"bucket1$2,:3,:6001",2014-03-04T04:20:30.639900,MQ,BAM,14.8171,-61.1445,670.0,2243.0,,2243,100.0,ZNE,test,manuel,MQ_BAM_20140304_042053
