trace_name,station_network_code,station_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,name,trace_name_original
"bucket0$0,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140415_034200
"bucket0$1,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140328_024327
"bucket0$2,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140331_004335
"bucket0$3,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140318_115310
"bucket0$4,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140418_084950
"bucket0$5,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140510_210412
"bucket1$0,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,dev,noise,MQ_IA2_NOISE_20140516_132335
"bucket0$6,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140324_160717
"bucket0$7,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140224_114709
"bucket0$8,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140328_224415
"bucket0$9,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140420_014542
"bucket0$10,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140315_155416
"bucket0$11,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140411_192009
"bucket0$12,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140220_185625
"bucket1$1,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,dev,noise,MQ_IA2_NOISE_20140330_160228
"bucket0$13,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140221_012041
"bucket0$14,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,train,noise,MQ_IA2_NOISE_20140415_012454
"bucket1$2,:3,:6001",MQ,IA2,14.80307,-61.20515,289.0,,,3000,100.0,ZNE,dev,noise,MQ_IA2_NOISE_20140414_041127
