MQ.CPM.91.EHZ | 2014-02-19T23:59:59.999900Z - 2014-02-20T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-02-20T23:59:59.999900Z - 2014-02-21T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-02-21T23:59:59.999900Z - 2014-02-22T15:48:26.719900Z | 100.0 Hz, 5690673 samples
MQ.CPM.91.EHZ | 2014-02-23T00:00:00.009900Z - 2014-02-23T00:01:05.719900Z | 100.0 Hz, 6572 samples
MQ.CPM.91.EHZ | 2014-02-23T23:59:59.999900Z - 2014-02-24T11:01:21.719900Z | 100.0 Hz, 3968173 samples
MQ.CPM.91.EHZ | 2014-02-24T23:59:59.999900Z - 2014-02-25T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-02-25T23:59:59.999900Z - 2014-02-26T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-02-26T23:59:59.999900Z - 2014-02-27T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-02-27T23:59:59.999900Z - 2014-02-28T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-02-28T23:59:59.999900Z - 2014-03-01T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-01T23:59:59.999900Z - 2014-03-02T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-02T23:59:59.999900Z - 2014-03-03T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-03T23:59:59.999900Z - 2014-03-04T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-04T23:59:59.999900Z - 2014-03-05T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-05T23:59:59.999900Z - 2014-03-06T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-06T23:59:59.999900Z - 2014-03-07T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-07T23:59:59.999900Z - 2014-03-08T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-08T23:59:59.999900Z - 2014-03-09T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-09T23:59:59.999900Z - 2014-03-10T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-10T23:59:59.999900Z - 2014-03-11T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-11T23:59:59.999900Z - 2014-03-12T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-12T23:59:59.999900Z - 2014-03-13T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-13T23:59:59.999900Z - 2014-03-14T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-14T23:59:59.999900Z - 2014-03-15T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-15T23:59:59.999900Z - 2014-03-16T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-16T23:59:59.999900Z - 2014-03-17T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-17T23:59:59.999900Z - 2014-03-18T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-18T23:59:59.999900Z - 2014-03-19T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-19T23:59:59.999900Z - 2014-03-20T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-20T23:59:59.999900Z - 2014-03-21T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-21T23:59:59.999900Z - 2014-03-22T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-22T23:59:59.999900Z - 2014-03-23T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-23T23:59:59.999900Z - 2014-03-24T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-24T23:59:59.999900Z - 2014-03-25T23:59:59.999900Z | 100.0 Hz, 8640001 samples
