G.FDF.00.BHE | 2014-02-20T00:00:00.000000Z - 2014-02-20T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-02-21T00:00:00.000001Z - 2014-02-21T23:59:59.950001Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-02-22T00:00:00.000000Z - 2014-02-22T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-02-23T00:00:00.000000Z - 2014-02-23T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-02-24T00:00:00.000000Z - 2014-02-24T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-02-25T00:00:00.000000Z - 2014-02-25T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-02-26T00:00:00.000000Z - 2014-02-26T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-02-27T00:00:00.000000Z - 2014-02-27T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-02-28T00:00:00.000000Z - 2014-02-28T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-01T00:00:00.000000Z - 2014-03-01T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-02T00:00:00.000000Z - 2014-03-02T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-03T00:00:00.000001Z - 2014-03-03T23:59:59.950001Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-04T00:00:00.000000Z - 2014-03-04T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-05T00:00:00.000000Z - 2014-03-05T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-06T00:00:00.000000Z - 2014-03-06T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-07T00:00:00.000000Z - 2014-03-07T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-08T00:00:00.000000Z - 2014-03-08T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-09T00:00:00.000000Z - 2014-03-10T00:00:00.000000Z | 20.0 Hz, 1728001 samples
G.FDF.00.BHE | 2014-03-10T00:00:00.049998Z - 2014-03-10T23:59:59.949998Z | 20.0 Hz, 1727999 samples
G.FDF.00.BHE | 2014-03-11T00:00:00.000000Z - 2014-03-11T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-12T00:00:00.000000Z - 2014-03-12T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-13T00:00:00.000000Z - 2014-03-13T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-14T00:00:00.000000Z - 2014-03-14T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-15T00:00:00.000000Z - 2014-03-15T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-16T00:00:00.000000Z - 2014-03-16T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-17T00:00:00.000000Z - 2014-03-17T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-18T00:00:00.000001Z - 2014-03-18T23:59:59.950001Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-19T00:00:00.000000Z - 2014-03-19T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-20T00:00:00.000000Z - 2014-03-20T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-21T00:00:00.000000Z - 2014-03-21T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-22T00:00:00.000000Z - 2014-03-22T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-23T00:00:00.000000Z - 2014-03-23T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-24T00:00:00.000001Z - 2014-03-25T00:00:00.000001Z | 20.0 Hz, 1728001 samples
G.FDF.00.BHE | 2014-03-25T00:00:00.049998Z - 2014-03-25T23:59:59.949998Z | 20.0 Hz, 1727999 samples
G.FDF.00.BHE | 2014-03-26T00:00:00.000000Z - 2014-03-26T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-27T00:00:00.000000Z - 2014-03-27T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-28T00:00:00.000000Z - 2014-03-28T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-29T00:00:00.000000Z - 2014-03-29T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-30T00:00:00.000000Z - 2014-03-30T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-03-31T00:00:00.000000Z - 2014-03-31T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-01T00:00:00.000000Z - 2014-04-01T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-02T00:00:00.000000Z - 2014-04-02T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-03T00:00:00.000000Z - 2014-04-03T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-04T00:00:00.000000Z - 2014-04-04T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-05T00:00:00.000000Z - 2014-04-05T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-06T00:00:00.000000Z - 2014-04-06T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-07T00:00:00.000000Z - 2014-04-07T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-08T00:00:00.000000Z - 2014-04-08T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-09T00:00:00.000000Z - 2014-04-09T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-10T00:00:00.000000Z - 2014-04-11T00:00:00.000000Z | 20.0 Hz, 1728001 samples
G.FDF.00.BHE | 2014-04-11T00:00:00.049998Z - 2014-04-11T23:59:59.949998Z | 20.0 Hz, 1727999 samples
G.FDF.00.BHE | 2014-04-12T00:00:00.000000Z - 2014-04-12T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-13T00:00:00.000001Z - 2014-04-13T23:59:59.950001Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-14T00:00:00.000000Z - 2014-04-14T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-15T00:00:00.000000Z - 2014-04-15T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-16T00:00:00.000000Z - 2014-04-16T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-17T00:00:00.000000Z - 2014-04-17T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-18T00:00:00.000001Z - 2014-04-18T23:59:59.950001Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-19T00:00:00.000000Z - 2014-04-20T00:00:00.000000Z | 20.0 Hz, 1728001 samples
G.FDF.00.BHE | 2014-04-20T00:00:00.049998Z - 2014-04-20T23:59:59.949998Z | 20.0 Hz, 1727999 samples
G.FDF.00.BHE | 2014-04-21T00:00:00.000000Z - 2014-04-21T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-22T00:00:00.000000Z - 2014-04-22T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-23T00:00:00.000000Z - 2014-04-23T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-24T00:00:00.000000Z - 2014-04-24T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-25T00:00:00.000000Z - 2014-04-25T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-26T00:00:00.000000Z - 2014-04-26T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-27T00:00:00.000000Z - 2014-04-27T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-28T00:00:00.000000Z - 2014-04-28T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-04-29T00:00:00.000000Z - 2014-04-29T09:17:13.300000Z | 20.0 Hz, 668667 samples
G.FDF.00.BHE | 2014-04-30T00:00:00.000000Z - 2014-04-30T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-05-01T00:00:00.000000Z - 2014-05-01T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-05-02T00:00:00.000000Z - 2014-05-02T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-05-03T00:00:00.000000Z - 2014-05-03T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-05-04T00:00:00.000000Z - 2014-05-04T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-05-05T00:00:00.000001Z - 2014-05-05T23:59:59.950001Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-05-06T00:00:00.000000Z - 2014-05-06T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-05-07T00:00:00.000000Z - 2014-05-07T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-05-08T00:00:00.000000Z - 2014-05-08T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-05-09T00:00:00.000001Z - 2014-05-09T23:59:59.950001Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHE | 2014-05-10T00:00:00.000000Z - 2014-05-11T00:00:00.000000Z | 20.0 Hz, 1728001 samples
G.FDF.00.BHE | 2014-05-11T00:00:00.049998Z - 2014-05-11T23:59:59.949998Z | 20.0 Hz, 1727999 samples
G.FDF.00.BHE | 2014-05-12T00:00:00.000000Z - 2014-05-12T23:59:59.950000Z | 20.0 Hz, 1728000 samples
