MQ.IA2.00.EHE | 2014-02-20T00:00:00.000000Z - 2014-02-20T00:56:03.740000Z | 100.0 Hz, 336375 samples
MQ.IA2.00.EHE | 2014-02-21T00:00:00.000000Z - 2014-02-21T01:50:06.740000Z | 100.0 Hz, 660675 samples
MQ.IA2.00.EHE | 2014-02-22T00:00:00.000000Z - 2014-02-22T11:39:40.740000Z | 100.0 Hz, 4198075 samples
MQ.IA2.00.EHE | 2014-02-23T00:00:00.000000Z - 2014-02-23T00:04:30.740000Z | 100.0 Hz, 27075 samples
MQ.IA2.00.EHE | 2014-02-24T00:00:00.000000Z - 2014-02-24T00:00:53.740000Z | 100.0 Hz, 5375 samples
MQ.IA2.00.EHE | 2014-02-25T00:00:00.000000Z - 2014-02-25T02:48:13.740000Z | 100.0 Hz, 1009375 samples
MQ.IA2.00.EHE | 2014-02-26T00:00:00.000000Z - 2014-02-26T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.IA2.00.EHE | 2014-02-27T00:00:00.000000Z - 2014-02-27T01:43:02.740000Z | 100.0 Hz, 618275 samples
MQ.IA2.00.EHE | 2014-02-28T00:00:00.000000Z - 2014-02-28T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-03-01T00:00:00.000000Z - 2014-03-01T08:27:05.740000Z | 100.0 Hz, 3042575 samples
MQ.IA2.00.EHE | 2014-03-02T00:00:00.000000Z - 2014-03-02T19:01:32.740000Z | 100.0 Hz, 6849275 samples
MQ.IA2.00.EHE | 2014-03-03T00:00:00.000000Z - 2014-03-03T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-03-04T00:00:00.000000Z - 2014-03-04T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-03-05T00:00:00.000000Z - 2014-03-05T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-03-06T00:00:00.000000Z - 2014-03-06T16:36:20.740000Z | 100.0 Hz, 5978075 samples
MQ.IA2.00.EHE | 2014-03-07T00:00:00.000000Z - 2014-03-07T04:18:09.740000Z | 100.0 Hz, 1548975 samples
MQ.IA2.00.EHE | 2014-03-08T00:00:00.000000Z - 2014-03-08T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHE | 2014-03-09T00:00:00.000000Z - 2014-03-09T03:18:35.740000Z | 100.0 Hz, 1191575 samples
